DATE,MATCHUP,BET_SIGNAL,VEGAS_SPREAD,SPREAD_EDGE,MODEL_PRED,PRED_MARGIN,BOOK,ODDS,UNITS,MARKET,GAME_TIME
2026-04-07,Milwaukee Brewers @ Boston Red Sox,BET (MIL) ML (+136) [HIGH CONFIDENCE],+136,+29.1%,69.8% (model) vs 40.7% (book),29.1,FANDUEL,+136,3,ML,6:46 PM ET
2026-04-07,Kansas City Royals @ Cleveland Guardians,BET (KCR) RL -1.5 (+168) [HIGH CONFIDENCE],-1.5,+23.4%,59.1% (model) vs 35.7% (book),23.4,FANDUEL,+168,3,SPREAD,1:11 PM ET
2026-04-07,Seattle Mariners @ Texas Rangers,BET (SEA) RL -1.5 (+158) [HIGH CONFIDENCE],-1.5,+22.0%,59.1% (model) vs 37.1% (book),22.0,FANDUEL,+158,3,SPREAD,8:06 PM ET
2026-04-07,Seattle Mariners @ Texas Rangers,BET (TEX) ML (+100) [MEDIUM CONFIDENCE],+100,+11.8%,59.7% (model) vs 47.8% (book),11.9,DRAFTKINGS,+100,2,ML,8:06 PM ET
2026-04-07,Detroit Tigers @ Minnesota Twins,BET (MIN) ML (+144) [HIGH CONFIDENCE],+144,+20.4%,59.7% (model) vs 39.3% (book),20.4,FANDUEL,+144,3,ML,7:41 PM ET
2026-04-07,Arizona Diamondbacks @ New York Mets,BET (NYM) RL -1.5 (+139) [HIGH CONFIDENCE],-1.5,+19.6%,59.7% (model) vs 40.1% (book),19.6,DRAFTKINGS,+139,3,SPREAD,4:11 PM ET
2026-04-07,Baltimore Orioles @ Chicago White Sox,BET (CHW) ML (+119) [HIGH CONFIDENCE],+119,+18.5%,62.2% (model) vs 43.7% (book),18.5,DRAFTKINGS,+119,3,ML,3:11 PM ET
2026-04-07,Baltimore Orioles @ Chicago White Sox,BET (BAL) RL -1.5 (+132) [HIGH CONFIDENCE],-1.5,+17.9%,59.1% (model) vs 41.2% (book),17.9,FANDUEL,+132,3,SPREAD,3:11 PM ET
2026-04-07,Atlanta Braves @ Los Angeles Angels,BET (ATL) RL -1.5 (+119) [HIGH CONFIDENCE],-1.5,+15.6%,59.7% (model) vs 44.1% (book),15.6,DRAFTKINGS,+119,3,SPREAD,9:39 PM ET
2026-04-07,Athletics @ New York Yankees,BET (NYY) RL -1.5 (+106) [MEDIUM CONFIDENCE],-1.5,+13.4%,59.7% (model) vs 46.4% (book),13.3,FANDUEL,+106,2,SPREAD,7:06 PM ET
2026-04-07,Chicago Cubs @ Tampa Bay Rays,BET (CHC) ML (+118) [MEDIUM CONFIDENCE],+118,+13.1%,57.2% (model) vs 44.2% (book),13.0,FANDUEL,+118,2,ML,6:41 PM ET
2026-04-07,St. Louis Cardinals @ Washington Nationals,BET (WSN) ML (-108) [LOW CONFIDENCE],-108,+9.7%,59.7% (model) vs 50.0% (book),9.7,FANDUEL,-108,1,ML,6:46 PM ET
2026-04-07,St. Louis Cardinals @ Washington Nationals,BET (STL) RL -1.5 (+156) [LOW CONFIDENCE],-1.5,+8.4%,45.9% (model) vs 37.4% (book),8.5,DRAFTKINGS,+156,1,SPREAD,6:46 PM ET
2026-04-07,Cincinnati Reds @ Miami Marlins,BET (MIA) ML (-126) [LOW CONFIDENCE],-126,+8.5%,62.2% (model) vs 53.7% (book),8.5,FANDUEL,-126,1,ML,6:41 PM ET
2026-04-07,Houston Astros @ Colorado Rockies,BET (COL) ML (+153) [LOW CONFIDENCE],+153,+7.3%,45.1% (model) vs 37.8% (book),7.3,DRAFTKINGS,+153,1,ML,8:41 PM ET
